                 Auteur                                    Société Année                                                                                                   Titre
        ABDEL WEDOUD I.                               Groupe MACSF  2024    Utilisation du machine learning pour la classification de la sinistralité RCP en vue du calcul de...
          ABITBOL M.-D.                                   Actuelia  2024                                 Recalibrage des chocs de la formule standard pour les risques de marché
               AFFIF Y.                                     CCR RE  2024      Stategic Analysis of Cancer Incidence Impact on Rinsurance Profitability : A Korean Market Case...
            AISSAOUI Q.                                      Kenko  2024                  L’Intégration du Machine Learning dans la Prévision des Dépenses de Santé d’Entreprise
                AKUE G.                                Groupe BPCE  2024         Prise en compte de l'inflation dans la branche automobile matérielle en provisionnement non-vie
           AL SAYEGH P.                         Parnasse Garanties  2024                           Amélioration de la modélisation de la sinistralité dans une assurance caution
              ALONSO E.                                   LinkPact  2024   Utilisation des modèles additifs généralisés pour la construction de table d'expérience en l'arrêt...
            ARAMOUNI M.                                 PwC France  2024                        L'impact de la hausse de l'inflation et de la remontée des taux en assurance vie
            ATONZONG H.                            ADDACTIS France  2024   Cartographie des risques santé d’un portefeuille et mise en oeuvre d’une modélisation innovante de...
    AUBERT-LASSARADE L.                                   Prim'Act  2024                       Modélisation et analyse d’un générateur de scénarios économiques non-paramétrique
            AUGEREAU C.                                   MMA IARD  2024                     Application de la théorie des jeux à la réassurance RC Auto d'un groupe d'assureurs
           BAKHTIARI C.                                       KPMG  2024     Modélisation conjointe des rachats et des versements en assurance vie : Vers une prédiction plus...
             BANKOLE N.                           GALEA & Associés  2024                                         Evaluation des indicateurs de risques et de performance du PEPP
             BANNIER N.                            Generali France  2024            Tarification à priori de la garantie plancher en cas de décès du PER Obligatoire de Generali
            BAPTISTE W.                            Axa Assurcrédit  2024                                                            Méthodes de tarification en assurance-crédit
             BARTNIG G.                Assurances du Crédit Mutuel  2024                                Best-Estimate S2 : Quelle approche pour les arbitrages en assurance-vie?
               BEGUE L.                          ALPTIS Assurances  2024  Vers une Nouvelle Ère de Pilotage de l’Absentéisme : Exploitation de la DSN, Utilisation du Machine...
             BELGRID H.                        Nexialog Consulting  2024            Etude de la démutualisation générationnelle sur des contrats d'épargne sous la norme IFRS 17
            BENYAHYA M.                             Allianz France  2024                        Analyse d’une allocation stratégique d’actifs d’un portefeuille de retraite FRPS
           BERLEMONT G.                                       KPMG  2024                                            Réalisation d'un ORSA climatique via des données Open Source
             BERNARD B.                                      Covéa  2024   Étude du comportement de l’assuré au cours du processus de gestion et d’indemnisation d’un dossier...
            BERTRAND L.                                  PartnerRe  2024                              Construction d'un produit de prévoyance pour les travailleurs non-salariés
               BIAOU G.                   Europ Assistance Holding  2024  Estimation du volume de sinistres sur un portefeuille hétérogène d'assurance voyage de type B2B2C :...
           BLAFON M.-A.                                   Generali  2024                                             Impact de la réforme du 100% santé et robustesse des tarifs
               BLAIN N.                                 prepar VIE  2024                         Optimisation de la valorisation du Best Estimate dans un contexte de taux élevé
          BLANCHETON L.                                   Optimind  2024                    Allocation stratégique d'actifs : une approche par reinforcement learning pour l’ALM
               BLOCH S.                                 Axa France  2024                                        Segmentation et construction de tables de maintien en incapacité
            BONICEL  A.                                 QBE Europe  2024               Adapter la modélisation de la sévérité en réassurance dans le contexte de forte inflation
         BONNASSIEUX L.                 Crédit Agricole Assurances  2024     Conséquences de la pandémie du Covid-19 sur la mortalité d'un portefeuille d'épargne et étude du...
          BOUCHOUCHI I.                                   Actuelia  2024                                      Défi climatique et durabilité, vers les limites de l'assurabilité?
           BOUKHARSA H.                                        PwC  2024  Construction des hypothèses Best Estimate biométriques pour un produit de Réassurance de dépendance...
             BOURDON A.                             Exiom Partners  2024 Utilisation de l'apprentissage statistique à des fins de sélections de trajectoires économiques pour...
          BOURREDJEM R.                                    GIE AXA  2024 Optimisation de la souscription des traités de réassurance non-vie du Groupe AXA par des algorithmes...
             BOUSSIM I.                           Deloitte Conseil  2024    Impact du changement climatique sur le risque d'inondation : Analyse de l'évolution d’indicateurs...
             BRAHIMI A.         Caisse des dépôts et consignations  2024  Etude de modèles de générations de chocs de taux dans le cadre d'une évaluation de besoins en fonds...
              BRETON G.                                  Suravenir  2024                          Analyse de I'Effet Mémoire dans la Revalorisation des Contrats d'Assurance Vie
                 CAI R.                         Abeille Assurances  2024                  Prise en compte de l'inflation dans l'estimation des provisions pour sinistres à payer
 CARREGUEIRA PEREIRA A.                                   Addactis  2024                            Modélisation et étude du maintien en incapacité d’un portefeuille spécifique
               CASAS A.                                        CAA  2024           Evolution de la stratégie de participations aux bénéfices dans un contexte de hausse des taux
           CASSIGNOL B.                            Covéa - MAAF SA  2024        Construction d’un zonier Tempête pour la tarification MRH – Approfondissement opérationnel du...
     CEREZO CHRETIEN P.                         Premium Consulting  2024      Construction d'un Outil de Tarification de la Prévoyance pour la Fonction Publique d'Etat : une...
            CHANLIAU G.                         Périclès Actuarial  2024                                            Etude de la sinitralité en prévoyance dans le monde agricole
             CHARVET Q.                                    Allianz  2024     Mise en place d’un modèle de grave pour la modélisation de la prime pure de la garantie incendie...
      CHAVAILLARD J.-P.                           GALEA & Associés  2024                Quelle allocation d'actifs pour un régime de retraite supplémentaire géré en extinction?
              CHAZAL G.                          Swiss Life France  2024     Optimisation financière du ratio de solvabilité d'un assureur vie dans un contexte de hausse des...
